ISBN-13;Titre;Langue de l'ouvrage;Nom complet de(s)Auteur(s);Date de parution;Résumé;Genre littéraire
978-2-7499-4470-8;Loin;Français;Alexis Michalik;2019-10-24;"Antoine, un jeune homme, découvre un carnet ayant appartenu à son père, mort avant sa naissance.
Il décide de suivre ses traces dans un voyage initiatique à travers l'Europe, qui le mènera à découvrir des secrets de famille.";Roman d'aventure
978-2-7499-3596-6;Le cas Victor Windsor;Français;Aurélie Valognes;2020-03-05;"Victor Windsor, un riche industriel, engage une aide-soignante pour s'occuper de lui après un accident.
Entre l'homme acariâtre et la jeune femme pétillante, une relation inattendue se noue, faite de confidences et de défis.";Feel-good
978-2-266-21844-7;La dernière valse de Mathilda;Français;Tamara McKinley;2007-04-12;"À la mort de sa grand-mère Mathilda, Jenny hérite de son journal intime.
Elle y découvre la vie tumultueuse de son aïeule dans l'Australie du début du XXe siècle, une histoire faite de passions, de secrets et de tragédies.";Saga familiale
978-2-266-28106-9;Shining, l'enfant lumière;Français;Stephen King;1979-01-01;"Jack Torrance, un écrivain alcoolique en quête d'inspiration, accepte un poste de gardien d'hiver dans un hôtel isolé dans les montagnes.
Il s'y installe avec sa femme et son fils Danny, qui possède un don de médium.
L'hôtel, hanté, va peu à peu le pousser à la folie.";Horreur
978-2-7578-7975-6;Leurs enfants après eux;Français;Nicolas Mathieu;2018-08-22;"Été 1992. Dans une vallée perdue de l'Est de la France, Anthony, 14 ans, et son cousin s'ennuient.
Un soir, ils volent un canoë pour rejoindre une plage.
C'est le début d'un été qui marquera le passage de l'adolescence à l'âge adulte.";Roman social
978-2-253-90676-0;Tout le bleu du ciel;Français;Mélissa Da Costa;2019-02-21;"Émile, 26 ans, est atteint d'un Alzheimer précoce.
Il décide de fuir pour un dernier voyage.
Il passe une petite annonce et Joanne, une jeune femme énigmatique, accepte de l'accompagner dans son camping-car.";Roman contemporain
978-2-07-040007-4;L'Écume des jours;Français;Boris Vian;1947-03-20;"Dans un Paris surréaliste et poétique, Colin et Chloé vivent un amour parfait.
Mais Chloé tombe malade : un nénuphar pousse dans son poumon.
Pour la soigner, Colin doit l'entourer de fleurs, ce qui le mènera à la ruine et au désespoir.";Roman surréaliste
978-2-7578-9442-8;Les Aérostats;Français;Amélie Nothomb;2020-08-19;"Ange, une étudiante en philologie, est engagée pour donner des cours de littérature à un adolescent dyslexique et reclus.
Une relation intense se noue entre eux, autour du pouvoir des livres et de la lecture comme moyen d'évasion.";Roman
978-2-266-26790-2;Le Gang des rêves;Français;Luca Di Fulvio;2016-09-01;"Au début du XXe siècle, une jeune Italienne et son fils, Cetta et Christmas, débarquent à New York.
Ils luttent pour survivre dans les bas-fonds de la ville, entre la pauvreté, la violence des gangs et le rêve d'une vie meilleure.";Saga historique
978-2-266-19196-2;Le Père de nos pères;Français;Bernard Werber;1998-10-28;"Deux journalistes, une femme et un homme, enquêtent sur un meurtre étrange lié à la paléontologie.
Leur enquête les met sur la piste du 'chaînon manquant', l'ancêtre commun à l'homme et au singe, et d'un secret qui pourrait changer la face de l'humanité.";Thriller scientifique
978-2-266-28842-6;Un(e)secte;Français;Maxime Chattam;2019-10-30;"La section de recherche de Paris est confrontée à une série de meurtres d'une cruauté sans nom, où les victimes sont mises en scène de manière macabre.
L'enquête plonge Ludivine Vancker dans les arcanes d'une secte aux rituels terrifiants.";Thriller
978-2-253-06822-2;La Vie mode d'emploi;Français;Georges Perec;1978-01-01;"Le roman décrit la vie des habitants d'un immeuble parisien à un instant précis, comme une coupe transversale.
Une mosaïque de récits qui s'emboîtent les uns dans les autres, suivant les contraintes de l'Oulipo.
Un chef-d'œuvre de la littérature du XXe siècle.";Roman expérimental
978-2-07-040183-5;La Métaphysique des tubes;Français;Amélie Nothomb;2000-08-23;"Récit autobiographique des trois premières années de la vie de l'autrice au Japon.
Elle y raconte sa petite enfance, de son état végétatif initial (le 'tube') à sa découverte du langage et du monde, en passant par sa divinisation par ses domestiques japonais.";Roman autobiographique
978-2-02-123708-8;Continuer;Français;Laurent Mauvignier;2016-09-01;"Sybille entraîne son fils adolescent, Samuel, qui est en pleine dérive, dans un long voyage à cheval à travers les montagnes du Kirghizistan.
Une tentative désespérée de renouer le lien et de le sauver de la violence.";Roman d'aventure
978-2-7427-5141-9;Le Soleil des Scorta;Français;Laurent Gaudé;2004-08-25;"Dans un village des Pouilles, en Italie du Sud, la lignée des Scorta vit sous le poids d'une faute originelle.
De génération en génération, ils luttent contre la misère et l'opprobre, unis par un secret et un soleil écrasant.
Une saga familiale sur l'honneur et la transmission.";Saga familiale
978-2-07-077029-8;La Possibilité du bonheur;Français;Pascal Bruckner;2002-09-04;"Essai philosophique qui déconstruit l'injonction contemporaine au bonheur.
Bruckner analyse comment le devoir d'être heureux est devenu une nouvelle forme de tyrannie, créant culpabilité et anxiété face à l'échec.";Essai philosophique
978-2-226-15546-1;Le Pas de l'assassin;Français;Henning Mankell;2004-03-03;"L'inspecteur Kurt Wallander enquête sur une série de meurtres où les victimes semblent n'avoir aucun lien entre elles.
Il doit plonger dans le passé pour comprendre les motivations d'un tueur patient et méthodique.";Polar
978-2-266-24960-1;Le Cœur des hommes;Français;Nickolas Butler;2014-08-21;"L'histoire d'une amitié indéfectible entre quatre hommes, de l'adolescence à l'âge adulte, dans une petite ville du Wisconsin.
Leurs vies, leurs amours et leurs drames se tissent au fil des saisons.";Roman contemporain
978-2-266-26789-6;Le temps est assassin;Français;Michel Bussi;2016-05-04;"Vingt-cinq ans après un accident de voiture qui a coûté la vie à ses parents et son frère en Corse, Clotilde revient sur les lieux.
Elle reçoit une lettre qui semble avoir été écrite par sa mère.
Est-elle vivante ? Clotilde enquête sur les secrets de son passé.";Thriller
978-2-266-21843-0;La consolante;Français;Anna Gavalda;2008-03-12;"Charles Balanda, un architecte à succès, apprend la mort de la mère de son meilleur ami d'enfance, une femme qu'il adorait.
Ce deuil le replonge dans son passé et le pousse à tout remettre en question.";Roman contemporain
978-2-266-18752-1;La Promesse de l'aube;Français;Romain Gary;1960-04-30;"Récit autobiographique où Romain Gary raconte son enfance en Pologne, son adolescence à Nice et ses exploits d'aviateur.
C'est surtout un hymne à l'amour fou et aux ambitions démesurées de sa mère, Mina.";Récit autobiographique
978-2-266-26307-2;1Q84 : Livre 1;Français;Haruki Murakami;2011-08-18;"En 1984, à Tokyo, une jeune femme, Aomamé, et un professeur de mathématiques, Tengo, basculent sans s'en rendre compte dans un monde parallèle, '1Q84'.
Leurs destins, liés depuis l'enfance, convergent dans cet univers étrange où deux lunes brillent dans le ciel.";Réalisme magique
978-2-266-27711-6;La vérité sur la lumière;Français;Jean-Claude Mourlevat;2016-10-12;"Quatre jeunes échappés d'un pensionnat autoritaire sont traqués par des hommes en noir.
Ils sont rejoints par un chauffeur de camion et une jeune fille aveugle.
Une course-poursuite haletante à travers la France.";Thriller
978-2-07-076145-6;Les Cercles de l'épouvante;Français;Fred Vargas;1996-05-23;"Le commissaire Adamsberg enquête sur des cercles de craie bleue qui apparaissent sur les trottoirs de Paris, entourant des objets hétéroclites.
Le jeu devient macabre lorsqu'un cadavre est retrouvé au centre de l'un d'eux.";Policier
978-2-226-43884-4;Leurs corps ne mentent jamais;Français;Joe Sacco;2010-11-03;"Reportage en bande dessinée sur le conflit israélo-palestinien.
Joe Sacco se rend à Gaza et recueille les témoignages des habitants sur leur quotidien, l'occupation et les violences.
Un travail de journalisme immersif et poignant.";Roman graphique
978-2-02-133314-8;Entre deux mondes;Français;Olivier Norek;2017-04-06;"Le capitaine Coste est muté dans un commissariat de Seine-Saint-Denis.
Il se retrouve confronté à la misère sociale de la 'Jungle' de Calais, où des migrants tentent de survivre.
Un polar social ultra-réaliste.";Polar social
978-2-7427-4638-5;Eldorado;Français;Laurent Gaudé;2006-08-24;"Le commandant Piracci intercepte les bateaux de clandestins au large de la Sicile.
Un jour, une femme qu'il a sauvée lui demande de l'aider à retrouver son fils.
En parallèle, deux frères quittent le Soudan pour tenter la traversée.
Deux destins face au drame de l'immigration.";Roman social
978-2-226-17142-3;Le Sari rouge;Français;Javier Moro;2010-02-24;"La biographie romancée de Sonia Gandhi, une jeune Italienne qui épouse l'héritier de la dynastie Nehru-Gandhi.
Après l'assassinat de son mari, elle se retrouve propulsée malgré elle au cœur du pouvoir en Inde.";Biographie romancée
978-2-253-15714-8;L'Adversaire;Français;Emmanuel Carrère;2000-01-05;"Le récit de l'affaire Jean-Claude Romand, qui a assassiné sa femme, ses enfants et ses parents après leur avoir menti pendant 18 ans, en se faisant passer pour un médecin de l'OMS.
Une enquête sur le mensonge, l'identité et la folie.";Non-fiction
978-2-226-44019-9;Le soleil et ses fleurs;Français;Rupi Kaur;2019-01-30;"Recueil de poèmes et d'illustrations qui explore les thèmes de la perte, du deuil, de l'amour, de la guérison et de la féminité.
Un voyage poétique sur la croissance et la renaissance, à l'image d'une fleur.";Poésie
978-2-07-041432-3;Cosmétique de l'ennemi;Français;Amélie Nothomb;2001-08-22;"Bloqué dans un aéroport, un homme d'affaires est accosté par un inconnu qui s'impose à lui et lui raconte les détails les plus sordides de sa vie, jusqu'à une révélation finale terrifiante.
Un huis clos psychologique oppressant.";Roman
978-2-7578-1880-9;Une prière pour Owen;Français;John Irving;1990-03-22;"L'histoire de l'amitié entre le narrateur et Owen Meany, un garçon à la voix étrange et à la foi inébranlable, persuadé d'être un instrument de Dieu.
Une fresque de l'Amérique des années 50 et 60, entre comédie et tragédie.";Roman
978-2-266-28951-5;Tant que le café est encore chaud;Français;Toshikazu Kawaguchi;2021-06-02;"Dans un petit café de Tokyo, il est possible de voyager dans le temps.
Mais il y a des règles strictes : on ne peut pas changer le présent et il faut revenir avant que le café ne soit froid.
Quatre histoires de personnages qui tentent de revisiter un moment de leur passé.";Roman fantastique
978-2-253-15715-5;Un long dimanche de fiançailles;Français;Sébastien Japrisot;1991-01-16;"Après la Première Guerre mondiale, Mathilde refuse de croire à la mort de son fiancé, Manech, condamné à mort avec quatre autres soldats.
Elle mène une enquête obstinée pour découvrir la vérité sur ce qui s'est passé dans les tranchées.";Roman historique
978-2-07-036034-5;Le hussard sur le toit;Français;Jean Giono;1951-01-01;"En 1832, en Provence, le jeune colonel de hussards Angelo Pardi fuit les agents autrichiens.
Son chemin croise celui d'une épidémie de choléra qui dévaste la région.
Pour y échapper, il se réfugie sur les toits.
Une aventure chevaleresque et un hymne au courage.";Roman d'aventure
978-2-266-27710-9;Le Manuscrit inachevé;Français;Franck Thilliez;2018-05-03;"Léane, la fille d'un célèbre auteur de thrillers, disparaît.
Son père abandonne l'écriture.
Des années plus tard, on retrouve une de ses scènes de crime, mais la victime est bien réelle.
Un roman dans le roman, où la fiction et la réalité se mêlent dangereusement.";Thriller
978-2-266-18753-8;L'Épée de vérité, Tome 1 : La Première Leçon du sorcier;Français;Terry Goodkind;1998-05-20;"Richard Cypher, un jeune garde forestier, voit sa vie basculer lorsqu'il sauve une femme mystérieuse, Kahlan.
Il découvre qu'il est le 'Sorcier de la Vérité', destiné à combattre le tyran Darken Rahl.
Le début d'une grande saga de fantasy épique.";Fantasy
978-2-266-20072-5;La Nuit des temps;Français;René Barjavel;1968-01-01;"Des scientifiques découvrent dans les glaces de l'Antarctique une sphère contenant les corps cryogénisés d'un homme et d'une femme d'une civilisation vieille de 900 000 ans.
Le réveil de la femme, Eléa, va bouleverser le monde.";Science-Fiction
978-2-266-29106-8;La délicatesse du homard;Français;Laure Manel;2017-06-21;"François, un gardien de phare bourru et solitaire en Bretagne, voit son quotidien perturbé par l'arrivée d'une nouvelle voisine, une artiste parisienne.
Une histoire de reconstruction et d'amour entre deux personnages que tout oppose.";Comédie romantique
978-2-253-15196-2;La Place;Français;Annie Ernaux;1983-01-01;"Récit autobiographique et sociologique dans lequel Annie Ernaux retrace la vie de son père, un ouvrier devenu petit commerçant, pour comprendre la distance sociale et culturelle qui s'est creusée entre eux.
Une analyse de la condition de 'transfuge de classe'.";Autofiction
978-2-07-040716-5;Un secret;Français;Philippe Grimbert;2004-05-05;"Le narrateur, enfant, s'invente un frère aîné, plus fort et plus beau que lui.
À l'adolescence, il découvre le lourd secret de sa famille, marqué par la Shoah.
Un récit poignant sur la mémoire, la culpabilité et les non-dits familiaux.";Récit autobiographique
978-2-266-29758-9;Miroir de nos peines;Français;Pierre Lemaitre;2020-01-02;"Troisième volet de la trilogie 'Les Enfants du désastre'.
En 1940, à l'aube de la débâcle, Louise, une jeune femme, croise une galerie de personnages qui tentent de survivre au chaos de l'exode et de la guerre.
Une fresque sur l'effondrement d'un pays.";Roman historique
978-2-266-24957-1;Code 93;Français;Olivier Norek;2013-04-18;"Le capitaine Victor Coste et son équipe du SDPJ 93 sont confrontés à une série de meurtres qui semblent suivre un rituel macabre.
Une plongée dans les recoins les plus sombres de la Seine-Saint-Denis.";Polar
978-2-266-25806-1;Territoires;Français;Olivier Norek;2014-04-24;"Dans une cité sensible du 93, un trafic de drogue est démantelé.
Mais la paix est de courte durée.
Un nouveau groupe, plus violent, tente de prendre le contrôle.
Le capitaine Coste doit naviguer entre la loi de la rue et les pressions politiques.";Polar social
978-2-266-27137-4;Surtensions;Français;Olivier Norek;2016-04-28;"Suite à une bavure qui tourne mal, le capitaine Coste est mis à l'écart.
Mais lorsqu'un groupe de braqueurs sème la terreur, il est rappelé pour une mission suicide : infiltrer le gang.";Polar
978-2-7096-5634-2;La cage dorée;Français;Camilla Läckberg;2019-04-10;"Faye, femme au foyer délaissée par son mari milliardaire, décide de se venger après qu'il l'a humiliée et ruinée.
Elle monte un plan diabolique pour le détruire et reprendre le contrôle de sa vie.
Un thriller de vengeance féministe.";Thriller psychologique
978-2-266-17796-6;La Princesse des glaces;Français;Camilla Läckberg;2003-01-01;"Erica Falck, une autrice, découvre le cadavre d'une amie d'enfance.
Elle s'associe à l'inspecteur Patrik Hedström pour enquêter dans la petite ville de Fjällbacka, où les secrets de famille sont bien gardés.";Polar
978-2-266-20074-9;Sur la route;Français;Jack Kerouac;1959-01-01;"Le récit des voyages effrénés de Sal Paradise et Dean Moriarty à travers les États-Unis dans les années 40.
Un roman emblématique de la Beat Generation, célébrant la liberté, le jazz, l'amitié et la quête de sens.";Roman
978-2-7578-7095-1;La Douleur;Français;Marguerite Duras;1985-01-01;"Recueil de textes autobiographiques sur la période de la Seconde Guerre mondiale.
La partie principale est le journal de l'attente insoutenable du retour de son mari, Robert Antelme, déporté dans les camps.
Un témoignage bouleversant sur l'absence et le deuil.";Récit autobiographique
978-2-266-24961-8;Le problème à trois corps;Français;Cixin Liu;2016-10-05;"Pendant la Révolution culturelle chinoise, une jeune astrophysicienne envoie un message dans l'espace.
Il est capté par une civilisation extraterrestre au bord de l'extinction, les Trisolariens, qui décident d'envahir la Terre.
Le début d'une saga de SF monumentale.";Science-Fiction
978-2-266-29110-5;Un garçon convenable;Français;Vikram Seth;1995-01-01;"Dans l'Inde post-indépendance des années 50, une mère cherche 'un garçon convenable' pour marier sa fille cadette, Lata.
À travers cette quête, le roman dresse une fresque immense de la société indienne, de ses tensions politiques, religieuses et sociales.";Saga familiale
978-2-266-16280-1;L'Œuvre de Dieu, la part du Diable;Français;John Irving;1986-09-01;"L'histoire d'Homer Wells, un orphelin qui grandit sous la tutelle du Dr Larch, un médecin qui pratique des avortements clandestins.
Un roman d'apprentissage sur la filiation, la morale et le droit de choisir.";Roman
978-2-07-040989-3;Les Piliers de la Terre;Français;Ken Follett;1990-09-20;"Au XIIe siècle, en Angleterre, la construction d'une cathédrale devient le point de convergence de destins multiples : un bâtisseur, un prieur, une noble déchue, un artisan...
Une épopée historique sur fond de guerre civile, de complots et de ferveur religieuse.";Roman historique
978-2-266-28107-6;L'Échiquier du mal;Français;Dan Simmons;1991-09-18;"Des individus dotés de pouvoirs psychiques sont traqués par d'autres 'prédateurs' capables de contrôler les esprits.
Un groupe de survivants doit s'unir pour affronter une conspiration mondiale visant à asservir l'humanité.";Thriller fantastique
978-2-226-44479-1;Un monde sans fin;Français;Ken Follett;2008-01-16;"Deux siècles après 'Les Piliers de la Terre', la ville de Kingsbridge est à nouveau le théâtre d'intrigues et de passions, alors qu'elle fait face à la Peste Noire.
La suite de la saga, avec de nouveaux personnages confrontés aux bouleversements du XIVe siècle.";Roman historique
978-2-266-18754-5;Hypérion;Français;Dan Simmons;1991-03-20;"Dans un futur lointain, sept pèlerins se rendent sur la planète Hypérion pour rencontrer le Gritche, une créature mystérieuse et redoutée.
Chacun raconte son histoire, dévoilant les enjeux politiques et religieux qui secouent la galaxie.
Un chef-d'œuvre de la science-fiction.";Science-Fiction
978-2-7578-1896-0;Le Parfum des feuilles de thé;Français;Dinah Jefferies;2015-06-04;"Dans les années 1920, une jeune Anglaise rejoint son mari, propriétaire d'une plantation de thé à Ceylan.
Elle découvre un monde exotique mais aussi les secrets et les mensonges qui entourent sa nouvelle famille.";Roman historique
978-2-266-29757-2;La Jeune Fille à la perle;Français;Tracy Chevalier;2000-09-06;"Le roman imagine l'histoire derrière le célèbre tableau de Vermeer.
Il raconte la vie de Griet, une jeune servante qui devient la muse du peintre dans le Delft du XVIIe siècle, une relation pleine de tensions et de désirs silencieux.";Roman historique
978-2-07-040184-2;Stupeur et tremblements;Français;Amélie Nothomb;1999-08-25;"Récit autobiographique et ironique de l'année passée par la narratrice comme employée dans une grande entreprise japonaise.
Elle y découvre la rigidité hiérarchique, les codes culturels absurdes et l'humiliation au travail.";Roman autobiographique
978-2-266-17386-9;Le Bonheur est au fond du couloir à gauche;Français;Jonas Jonasson;2013-09-18;"Un ancien publicitaire, un pasteur sans paroisse et une réceptionniste s'associent pour créer une entreprise qui venge les gens ordinaires contre les puissants.
Le début d'une aventure rocambolesque et hilarante.";Comédie
978-2-266-29760-2;Le Secret du mari;Français;Liane Moriarty;2014-02-05;"Cecilia découvre une lettre de son mari à n'ouvrir qu'après sa mort.
Il est bien vivant, mais elle ne résiste pas à la tentation.
Le secret qu'elle y découvre va bouleverser sa vie et celle de deux autres femmes.";Drame psychologique
978-2-266-27138-1;Big Little Lies;Français;Liane Moriarty;2017-02-01;"Dans une banlieue chic, un drame a lieu lors de la fête de l'école.
Le roman remonte le temps pour explorer les vies, les secrets et les mensonges de trois mères de famille, dont les destins sont liés par cet événement.";Drame
978-2-266-24956-4;Avant d'aller dormir;Français;S. J. Watson;2011-05-18;"Suite à un accident, Christine est amnésique.
Chaque matin, elle se réveille sans aucun souvenir, aux côtés d'un homme qui prétend être son mari.
Elle décide de tenir un journal secret pour reconstituer son passé, mais découvre que la vérité est peut-être plus terrifiante qu'elle ne l'imagine.";Thriller psychologique
978-2-266-27709-3;Dix petites poupées;Français;B. A. Paris;2016-09-07;"Grace et Jack forment un couple parfait.
Mais derrière la façade, Grace est prisonnière d'un mari manipulateur et violent.
Elle doit trouver un moyen de s'échapper avant qu'il ne soit trop tard.";Thriller psychologique
978-2-7578-6222-2;Neige;Français;Orhan Pamuk;2007-10-18;"Un poète exilé retourne en Turquie et se rend dans la ville de Kars, où une vague de suicides de jeunes filles voilées sème le trouble.
Il se retrouve pris au piège par une tempête de neige et les tensions politiques entre islamistes et laïcs.";Roman politique
978-2-266-12948-4;Le Maître du Haut Château;Français;Philip K. Dick;1962-10-01;"Uchronie se déroulant dans un monde où l'Allemagne nazie et le Japon ont gagné la Seconde Guerre mondiale et se partagent les États-Unis.
Un groupe de personnages découvre un livre interdit qui décrit un monde où les Alliés ont gagné.";Science-Fiction
978-2-266-17388-3;Le vieux qui lisait des romans d'amour;Français;Luis Sepúlveda;1992-03-12;"Dans un village d'Amazonie, Antonio José Bolívar Proaño, un vieil homme qui a appris à lire avec des romans d'amour, est contraint de chasser un ocelot devenu fou après que des chasseurs ont tué ses petits.
Une fable écologique et humaniste.";Roman
978-2-7578-5913-0;Le Labyrinthe des esprits;Français;Carlos Ruiz Zafón;2018-05-16;"Dernier volet de la saga du 'Cimetière des Livres Oubliés'.
L'enquêtrice Alicia Gris est chargée de résoudre la mystérieuse disparition d'un ministre du régime franquiste.
Son enquête la ramène aux secrets de la famille Sempere et au passé sombre de Barcelone.";Thriller littéraire
978-2-266-29109-9;Le Jeu de l'ange;Français;Carlos Ruiz Zafón;2009-04-01;"Dans le Barcelone des années 20, un jeune écrivain, David Martín, accepte une offre d'un mystérieux éditeur : écrire un livre qui fondera une nouvelle religion, en échange d'une fortune.
Mais ce pacte faustien a un prix.";Thriller fantastique
